,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,new_death,pnew_death,created_at,consent_cases,consent_deaths,conf_death,prob_death
802,2020-09-04T00:00:00.000,VI,1167,,,17.0,0,16,0.0,0,2020-09-05T14:09:45.109,,,,
803,2020-05-16T00:00:00.000,WA,18379,,,347.0,0,1000,8.0,0,2020-05-18T00:00:00.000,N/A,N/A,,
804,2020-10-23T00:00:00.000,MD,139487,,,796.0,0,4223,7.0,0,2020-10-25T00:00:00.000,N/A,Agree,4066.0,157
805,2021-05-12T00:00:00.000,MD,454745,,,474.0,0,9457,19.0,0,2021-05-14T00:00:00.000,N/A,Agree,9245.0,212
806,2021-01-06T00:00:00.000,MT,84060,84060.0,0,682.0,0,1015,10.0,0,2021-01-07T14:56:59.705,Agree,Agree,1015.0,0
807,2020-04-23T00:00:00.000,VT,763,,,3.0,0,45,3.0,0,2021-06-30T13:48:36.606,Not agree,Not agree,,
808,2021-01-08T00:00:00.000,VT,8040,,,206.0,8,155,0.0,0,2021-01-10T00:00:00.000,Not agree,Not agree,,
809,2020-11-03T00:00:00.000,DE,25689,24511.0,1178,117.0,9,712,0.0,0,2020-11-05T00:00:00.000,Agree,Agree,625.0,87
810,2021-03-21T00:00:00.000,MS,303873,187158.0,116715,143.0,78,7152,6.0,1,2021-03-23T00:00:00.000,Agree,Agree,4949.0,2203
811,2020-01-22T00:00:00.000,VI,0,,,0,,0,0,,2020-03-26T16:22:39.452,,,,
812,2021-08-17T00:00:00.000,NV,374651,,,1002.0,0,6223,33.0,0,2021-08-18T14:45:06.728,,,,
813,2020-04-15T00:00:00.000,NE,978,,,66.0,0,21,1.0,0,2020-04-17T00:00:00.000,Not agree,Not agree,,
814,2021-08-04T00:00:00.000,VT,23458,,,23.0,1,252,0.0,0,2021-08-05T14:32:13.471,Not agree,Not agree,,
815,2021-02-22T00:00:00.000,NC,851486,741924.0,109562,1322.0,356,12067,38.0,6,2021-02-22T00:00:00.000,Agree,Agree,10683.0,1384
816,2020-03-04T00:00:00.000,AL,144,126.0,18,9.0,0,1,0.0,0,2020-03-06T00:00:00.000,Agree,Agree,0.0,1
817,2020-07-08T00:00:00.000,MO,32300,,,1346.0,15,1159,5.0,0,2020-07-10T00:00:00.000,Not agree,Not agree,,
818,2021-01-13T00:00:00.000,NE,179846,,,1075.0,0,1803,12.0,0,2021-01-15T00:00:00.000,Not agree,Not agree,,
819,2021-03-29T00:00:00.000,GU,7805,,,1.0,0,134,0.0,0,2021-03-30T14:06:13.038,Not agree,Not agree,,
820,2021-07-22T00:00:00.000,MT,115143,102678.0,12465,141.0,22,1695,1.0,0,2021-07-23T13:48:31.666,Agree,Agree,1695.0,0
821,2020-09-30T00:00:00.000,DE,20906,19846.0,1060,178.0,2,636,1.0,0,2020-10-02T00:00:00.000,Agree,Agree,559.0,77
822,2020-07-31T00:00:00.000,NC,128373,127227.0,1146,1848.0,55,2099,32.0,0,2020-07-31T00:00:00.000,Agree,Agree,2096.0,3
823,2020-09-24T00:00:00.000,VT,1585,,,2.0,0,57,0.0,0,2020-09-26T00:00:00.000,Not agree,Not agree,,
824,2020-09-21T00:00:00.000,WI,108588,102498.0,6090,1296.0,25,1252,2.0,0,2020-09-22T13:51:57.795,Agree,Agree,1244.0,8
825,2020-02-13T00:00:00.000,ME,0,,,0.0,,0,0.0,,2020-03-26T16:22:39.452,Agree,Agree,,
826,2020-05-16T00:00:00.000,VI,69,,,0.0,0,6,0.0,0,2020-05-17T15:27:46.000,,,,
